State,District,Latitude,Longitude,Population,Male Literate,Female Literate,Scheduled Castes,Male Scheduled Castes,Female Scheduled Castes,Scheduled Tribes,Male Scheduled Tribes,Female Scheduled Tribes ,Workers,Male Workers,Female Workers,Main Workers,Marginal Workers,Non Workers,Cultivator Workers,Agricultural Workers,Household Workers,Other_Workers,Total Hindus,Total Muslims,Total Christians,Total Sikhs ,Total Buddhists,Total Jains,Others Religions,Religion Not Stated,LPG Households,Housholds with Electric Lighting,Households with Internet,Households with Computer,Rural Households,Urban Households,Households,Below Primary Education,Primary Education,Middle Education,Secondary Education,Higher Education,Graduation,Other Education,Households with Bicycle,Households with Car Jeep Van,Households with Radio Transistor,"Households with Scooter,Motorcycle,Moped","Households with Telephone,Mobile,Phone and Landline only","Households with Telephone,MobilePhone and Mobile only","Households with TV,Computer,Laptop,Telephone,mobile,phone and ScooterCar",Households with Television,"Households with Telephone,Mobile and Phone","Households with Telephone,Mobile and Phone",Total Religion,Literacy Rate,Sex Ratio
Madhya Pradesh,Sheopur,25.78014810996563,77.16911116838484,687861,208201,119824,108391,57838,50553,161448,82637,78811,277455,183788,93667,196189,81266,410406,106745,115261,4166,51283,638702,41396,230,6387,201,379,40,526,11701,74770,273,5393,150146,26376,176522,90911,70840,43009,37072,24732,17091,1497,32178,1634,12553,17878,1471,54563,698,29266,57366,1332,687335,0.0,90.0
Madhya Pradesh,Shivpuri,25.37802451874367,77.74861600810549,1726050,573242,327604,321515,171565,149950,227802,117111,110691,759281,481001,278280,577723,181558,966769,383340,220440,13079,142422,1648749,51200,1117,7151,3421,12171,72,2169,35706,148128,1852,15304,367859,66759,434618,261087,214162,125117,84684,58509,44812,6218,125237,5417,44377,48952,4610,138219,3913,71501,148509,5680,1723881,100.0,88.0
Madhya Pradesh,Sidhi,24.17547189952905,82.1053783359498,1127033,353030,247755,130202,66174,64028,313304,159192,154112,461760,284289,177471,275482,186278,665273,102644,262030,15654,81432,1077545,34419,511,128,92,93,12556,1689,9569,102228,837,10790,250953,25916,276869,185550,168224,129344,80312,60845,33067,3896,90963,3320,53315,18017,2568,78044,1208,26502,82709,2097,1125344,100.0,96.0
Madhya Pradesh,Tikamgarh,25.14099852104666,78.89357064846428,1445166,459353,288587,361604,190666,170938,67857,34923,32934,655318,402776,252542,470432,184886,789848,305859,223852,15622,109985,1383475,44143,588,251,109,15569,39,992,21489,132725,1090,10899,322772,60220,382992,202448,188694,143231,78053,58245,35034,5340,153933,4139,51019,35388,3932,133356,2393,62828,140118,2830,1444174,100.0,90.0
Madhya Pradesh,Ujjain,23.319288862745065,75.80383717647058,1986864,730817,510173,523869,267235,256634,48730,24925,23805,897442,569425,328017,682115,215327,1089422,289013,302003,19678,286748,1718204,233133,4659,3241,945,24622,211,1849,123526,323379,7501,27733,300765,188684,489449,286534,280030,178295,159263,119586,111290,13282,163671,12167,45472,107407,11588,214879,16645,181659,248508,22041,1985015,100.0,96.0
Madhya Pradesh,Umaria,23.59601063063061,80.90879477477475,644758,210907,145765,58147,29902,28245,300687,151988,148699,289691,175698,113993,138600,151091,355067,65369,145690,8767,69865,620515,15966,667,190,70,220,6028,1102,12713,67975,839,6360,138100,29966,168066,90791,94011,74854,43418,27216,18144,2784,66004,1873,26128,14918,1987,35134,1527,22502,39260,2139,643656,100.0,95.0
Madhya Pradesh,Vidisha,23.82838307984792,77.9013507604563,1458875,512344,350574,292144,154504,137640,67603,34993,32610,550402,401583,148819,397283,153119,908473,168615,228308,12408,141071,1287391,149548,1313,914,295,18490,70,854,41617,181510,1926,12888,292579,83830,376409,242021,214603,123650,104007,65581,59814,6780,70884,5682,31152,55126,4770,139131,4922,96565,150643,6742,1458021,100.0,90.0
Maharashtra,Akola,20.746310479041902,77.12122320359276,1813906,758977,652304,364059,186244,177815,100280,51359,48921,768154,520362,247792,691025,77129,1045752,129680,388521,9660,240293,1107809,357253,4483,1504,328033,10205,389,4230,107463,314490,6163,24232,308158,196077,504235,231841,328367,275264,291391,205723,112574,15157,126856,9037,51950,72460,14360,164233,11896,176674,195210,16617,1809676,100.0,95.0
Maharashtra,Amravati,21.16520991810736,77.67583503184723,2888445,1207104,1044771,506374,259398,246976,404128,205834,198294,1236322,837577,398745,1061544,174778,1652123,198793,667943,20998,348588,2055177,421410,7223,2242,383891,11360,3288,3854,175917,512492,9438,36185,508921,272894,781815,326195,468853,463051,525116,346876,203273,16148,211384,15285,54714,124261,28565,235775,18992,302188,295756,31416,2884591,100.0,95.0
Maharashtra,Bhandara,21.211792649727748,80.10950199637024,1200334,488709,411151,200372,100421,99951,88886,44515,44371,597305,345054,252251,413838,183467,603029,123099,312183,17169,144854,1009352,26502,2145,831,154458,1017,3555,2474,55948,227025,2932,13165,283843,72575,356418,115150,187870,208902,204435,153749,67061,12452,182892,5184,20500,54974,10685,110171,5536,117299,131424,10568,1197860,100.0,98.0
Maharashtra,Bid,18.952353340080982,75.69319706477731,2585049,987185,731322,351254,179777,171477,32722,16806,15916,1255548,727819,527729,1154708,100840,1329501,606280,373566,21093,254609,2174672,320395,2097,824,68482,8719,399,9461,82098,402052,5614,29198,563114,135457,698571,309704,436446,280800,316758,206530,129996,11438,119991,12836,54715,91909,17352,306141,8484,205352,346380,22887,2575588,100.0,92.0
Maharashtra,Buldana,20.56680611183355,76.39017880364096,2586258,1048892,830982,470895,241445,229450,124837,64153,60684,1219641,734024,485617,1107542,112099,1366617,385447,603227,13770,217197,1845424,354236,3531,1668,364229,12242,522,4406,103898,423036,4767,24877,575405,152787,728192,315408,457067,400342,406379,228266,113783,19619,121784,10034,43579,84546,16240,257109,8993,225282,293299,19950,2581852,100.0,93.0
Maharashtra,Chandrapur,20.095609090909075,79.31556380471388,2204307,872565,706050,348365,176898,171467,389441,196753,192688,1058172,648565,409607,804433,253739,1146135,220978,473983,21346,341865,1780085,92297,10701,5251,286734,3861,23188,2190,172661,418666,8239,31419,451324,233331,684655,243773,316192,337320,351610,241179,126488,15040,248585,12746,39608,113039,17042,212167,16949,229635,250418,21209,2202117,100.0,96.0
Maharashtra,Dhule,21.274018690400517,74.58719071837263,2050862,723388,570528,127571,65068,62503,647315,327034,320281,936370,570448,365922,825875,110495,1114492,239139,429536,20646,247049,1825460,187901,3653,1422,13405,12818,912,5291,126138,315332,6065,27139,382777,146013,528790,200494,323641,208571,290656,182739,114931,14526,107616,10912,51566,74859,17041,175173,12022,174524,210557,18343,2045571,100.0,95.0
Maharashtra,Gondiya,21.225008411214997,80.17522698598128,1322507,542837,461406,175961,87434,88527,214253,105944,108309,665419,383151,282268,433962,231457,657088,186509,281414,32525,164971,1153861,26157,1827,2160,125282,1568,5080,6572,38044,239981,2866,13595,319702,66813,386515,138457,237888,231153,225595,159570,57923,9620,200918,5074,31287,49085,9117,105702,5357,104997,123673,8854,1315935,100.0,100.0
Maharashtra,Hingoli,19.59525302245251,77.09239412780653,1177345,450551,340192,182565,93379,89186,111954,57674,54280,569182,330903,238279,514371,54811,608163,241613,226483,8268,92818,863199,127552,992,643,176679,5278,103,2899,27700,159114,1221,9676,242456,41913,284369,175736,266649,127246,136075,74544,38698,5932,48246,3833,29798,29815,5768,124247,2130,73640,134812,4797,1174446,100.0,94.0
Maharashtra,Jalgaon,20.8828943415638,75.55140421810695,4229917,1629223,1262659,389273,199427,189846,604367,310150,294217,1863571,1186472,677099,1643955,219616,2366346,384359,937174,38930,503108,3457615,560261,7091,3091,143865,27404,9662,20928,350029,720791,14297,56775,796223,373565,1169788,482462,735730,532587,627198,375643,229987,31008,229955,19560,92379,170551,50297,350725,26385,431221,459652,58630,4208989,100.0,92.0
Maharashtra,Jalna,19.984612534818933,75.98473607242339,1959046,699428,496095,272266,138957,133309,42263,21988,20275,930886,545030,385856,844492,86394,1028160,418952,300937,16705,194292,1504641,274221,12542,1629,152540,9619,336,3518,60219,288895,3791,17236,404746,98084,502830,271061,422207,218189,225331,120715,64060,9724,84022,8400,43810,75655,28619,194534,6111,158182,255420,32267,1955528,100.0,94.0
Maharashtra,Kolhapur,16.44881301587301,74.12897150793648,3876001,1559760,1266085,504461,253390,251071,30206,15478,14728,1704054,1125204,578850,1508563,195491,2171947,660872,266028,59932,717222,3379906,286558,15573,1570,29766,154882,1274,6472,340318,770005,22269,71879,796496,382818,1179314,321457,622362,487227,698604,395234,335413,40828,383946,49081,257521,283565,62018,444091,45061,507573,595768,89659,3869529,100.0,96.0
Maharashtra,Latur,18.348687268993856,76.75812607802874,2454196,932432,718240,480913,247918,232995,57488,29872,27616,1046857,670018,376839,964177,82680,1407339,331780,416578,17663,280836,2006984,367664,2387,935,66535,6387,310,2994,96018,381722,6217,29758,428616,157016,585632,268627,423711,296910,380344,224998,153256,18106,108626,13150,33408,81052,21703,257877,10060,190739,302745,23165,2451202,100.0,93.0
Maharashtra,Nagpur,21.196556862745105,79.02166176470584,4653570,1959220,1714588,867713,439205,428508,437571,223566,214005,1868560,1334211,534349,1654778,213782,2785010,206606,423587,52419,1185948,3492202,390974,34667,20469,668050,24528,12181,10499,599780,917626,57964,135750,430844,877522,1308366,325084,666693,812381,790443,542228,493236,73475,577214,71592,268402,426007,110280,518071,106415,728714,719955,91604,4643071,100.0,95.0
Maharashtra,Nanded,19.209316983017,77.6829048951049,3361292,1255222,934203,640483,328797,311686,281695,143892,137803,1493953,925232,568721,1317791,176162,1867339,447823,632395,29158,384577,2501741,471951,3902,13540,354189,5049,1273,9647,116284,488748,7548,43055,591119,230563,821682,416869,691348,368723,416761,255650,156225,21729,109371,12341,88374,83106,18983,344527,12589,216364,384823,21313,3351645,100.0,94.0
Maharashtra,Nandurbar,21.523175625248147,74.32638757443429,1648295,512099,394410,47985,24273,23712,1141933,568026,573907,792065,442898,349167,664193,127872,856230,211672,438176,14599,127618,1521618,96182,8467,685,4969,6191,2907,7276,54335,186202,2579,17047,333440,71572,405012,166664,218718,121404,160961,113019,58461,9248,40529,6135,23172,39350,6958,85451,4587,83144,101758,9349,1641019,100.0,98.0
Maharashtra,Nashik,20.266912871287143,74.03824168316828,6107187,2397538,1947828,554687,282213,272474,1564369,792547,771822,2763328,1746286,1017042,2523023,240305,3343859,967385,730228,56132,1009583,5237009,693052,23946,8912,94783,38212,1795,9478,536781,904710,45039,138887,904661,764271,1668932,544346,1038955,851714,830070,485052,373100,97219,400486,79590,185442,396040,56688,668207,89201,630639,798663,73768,6097709,100.0,93.0
Maharashtra,Osmanabad,18.19459456066944,75.99495575313809,1657576,644304,493506,265184,136354,128830,36039,18569,17470,773916,473795,300121,701894,72022,883660,297361,299525,19831,157199,1437623,178925,942,340,28216,4530,195,6805,49180,240042,3209,18183,367158,77832,444990,183972,300965,201646,260772,139479,96847,9913,93061,7974,37076,51577,13991,171426,4182,117741,200323,14906,1650771,100.0,92.0
Maharashtra,Parbhani,19.31032425249168,76.70163338870431,1836086,666291,491523,247308,125883,121425,40514,20570,19944,822797,501422,321375,756417,66380,1013289,295030,317806,13210,196751,1328385,306364,2081,1371,187899,6238,262,3486,59272,272486,3982,21196,293480,133759,427239,229217,396713,204316,229103,116041,81333,9703,82350,6973,49166,50197,11554,199804,6057,135933,224888,13530,1832600,100.0,95.0
Maharashtra,Pune,18.51696171428573,74.12922881632647,9429408,3940210,3231513,1180703,602755,577948,348876,179132,169744,4048993,2809816,1239177,3751221,297772,5380415,886530,414461,105711,2642291,8090254,673704,134192,27090,340404,127786,9873,26105,1410448,1925019,235018,490260,1165718,2056739,3222457,559840,1234549,1383055,1414563,867256,1086650,190336,735590,273326,675621,1013058,130854,1451086,382527,1555272,1792197,210257,9403303,100.0,91.0
Maharashtra,Ratnagiri,17.210195070127703,73.25725893866404,1615069,619012,580380,66948,31967,34981,20374,10402,9972,714076,407008,307068,554973,159103,900993,296913,153117,17230,246816,1307211,187197,1990,230,113467,3347,95,1532,100860,367352,7752,31062,538538,100824,639362,163025,378554,269872,247257,111600,65700,15429,49177,15191,40484,61559,74069,137452,13304,163470,258015,46494,1613537,100.0,112.0
Maharashtra,Sangli,17.154930181086502,74.70713822937628,2822143,1121550,927917,353093,177108,175985,18333,9406,8927,1215104,800214,414890,1074948,140156,1607039,480554,290693,40824,403033,2440312,239607,9098,1260,38210,87453,769,5434,227034,485126,13212,49056,626872,226801,853673,208511,507318,459156,453404,244804,214003,36983,335852,29515,167105,190760,43027,319625,26191,310230,415009,52357,2816709,100.0,97.0
Maharashtra,Satara,17.6737908974359,74.18052064102558,3003741,1201034,1024660,323236,161703,161533,29635,15210,14425,1354947,844805,510142,1184407,170540,1648794,585876,297241,39772,432058,2691952,146970,4408,1182,141315,12810,676,4428,271186,562653,14093,57423,774522,200949,975471,288427,495822,407977,556706,299993,243457,20884,246949,36046,132762,195582,34682,378300,31351,374085,463058,50076,2999313,100.0,99.0
Maharashtra,Sindhudurg,16.170948049777163,73.51329008172343,849651,348289,317778,55586,26830,28756,6976,3575,3401,347178,229676,117502,226538,120640,502473,124812,81816,9679,130871,780384,26264,15471,219,24762,1046,53,1452,42540,194228,3517,15721,295847,44989,340836,86480,165284,134734,175070,89023,48418,3451,39669,9264,16413,37159,18320,93385,6101,98475,131855,20150,848199,100.0,104.0
Maharashtra,Solapur,17.837357937584812,75.42394823609216,4317756,1651266,1259410,649745,331960,317785,77592,39785,37807,1898395,1206933,691462,1763175,135220,2419361,637250,558334,71106,631705,3795424,441254,9882,1279,35497,28134,568,5718,248255,595560,15145,59296,779929,376302,1156231,390337,788150,535848,643327,328020,236302,29051,419488,28219,163776,229240,35124,501095,27734,376000,576726,40507,4312038,100.0,94.0
Maharashtra,Thane,19.698767747440264,72.79882742564581,11060148,4591396,3635765,730089,377885,352204,1542451,769192,773259,4492767,3363123,1129644,3930511,562256,6567381,349931,418004,124461,3600371,8716055,1355630,280700,39149,449617,172052,9862,37083,1610460,2231800,256170,551643,713994,2904157,3618151,712171,1530916,1588196,1751284,1080597,961719,114453,403936,172210,566768,499186,196291,1484589,255987,1741244,2011713,330833,11023065,100.0,89.0
Maharashtra,Wardha,20.80743024390242,78.57259105691062,1300774,552617,466841,188830,96569,92261,149507,76698,72809,608235,392316,215919,529623,78612,692539,132989,282170,13785,179291,1057096,53854,2696,2147,175417,5663,2254,1647,114029,266155,4313,16260,268486,120218,388704,140470,186781,201471,225208,158055,93772,7017,129060,6970,38959,70849,14587,135009,8251,170620,166398,16802,1299127,100.0,95.0
Maharashtra,Washim,20.282282394366213,77.25502394366208,1197160,487703,382214,229462,117867,111595,80471,41403,39068,569792,340353,229439,502755,67037,627368,165598,310195,7122,86877,859949,142672,1707,518,179330,8476,381,4127,36840,196022,1875,10757,274925,55921,330846,166509,238985,160331,162762,116032,47865,7294,66675,3623,21548,37729,7506,111191,2868,97022,125662,6965,1193033,100.0,93.0
Maharashtra,Yavatmal,20.04258346738159,78.05326371760479,2772348,1115980,906594,328518,167009,161509,514057,260896,253161,1355999,815475,540524,1195100,160899,1416349,333504,739718,17899,264878,2251401,239236,4567,1596,249874,11422,3745,10507,134500,446516,6094,29917,629243,168889,798132,391944,562739,382001,389924,245819,123074,21889,168661,12132,59201,99346,16735,242458,11514,245261,279184,19991,2761841,100.0,95.0
Manipur,Bishnupur,24.50712111801243,93.8246236024845,237399,87313,69020,22113,11085,11028,3287,1625,1662,109937,62807,47130,76423,33514,127462,34358,15109,11567,48903,175102,18691,4264,56,76,16,38457,737,11393,34364,676,3447,34977,21172,56149,15941,36011,50004,31775,20077,20074,1440,25026,2009,26950,5782,1739,25635,848,23140,28217,843,236662,100.0,100.0
Manipur,Chandel,24.2635812987013,94.09443844155844,144182,51053,39249,540,321,219,128280,63622,64658,76238,42615,33623,53753,22485,67944,43255,8315,3040,21628,10810,3086,129049,136,400,59,354,288,1424,18764,184,1782,30377,3783,34160,17382,28163,30589,18971,12213,8105,240,7705,908,12475,3263,670,11205,336,8319,12428,553,143894,100.0,93.0
Manipur,Churachandpur,24.30309718875504,93.38671506024085,274143,104013,91922,443,244,199,254787,126328,128459,122655,70594,52061,89779,32876,151488,64834,8282,5067,44472,12034,2886,254979,152,495,87,2333,1177,13371,29894,837,4496,52972,4853,57825,32860,67907,65475,38567,23284,14523,509,12613,1807,16193,6387,816,22068,1484,17498,24266,1382,272966,100.0,97.0
Manipur,Senapati,25.08465586034914,94.03366234413956,479148,148012,116465,1000,536,464,419210,214519,204691,233622,124143,109479,185725,47897,245526,175127,30369,4978,42307,43833,1649,426819,140,2409,53,1243,3002,2430,22798,256,2170,38008,1826,39834,46757,81735,91395,62033,40438,24940,598,6761,827,15752,1603,601,12483,264,9623,13568,484,476146,100.0,94.0
Manipur,Tamenglong,24.98312942238265,93.49450740072204,140651,47403,37603,22,17,5,134626,68226,66400,70675,37237,33438,55979,14696,69976,48849,1924,1710,18192,2995,589,134760,59,425,57,1144,622,1229,11541,125,1362,23982,4119,28101,11155,28461,26794,17867,11645,7102,270,826,495,7564,723,174,5388,152,5233,6037,475,140029,100.0,94.0
Manipur,Thoubal,24.545392553191498,93.97959893617023,422168,152617,116687,40593,20137,20456,1808,929,879,195319,109377,85942,133428,61891,226849,77331,33106,21017,63865,267146,107323,4322,106,114,24,42347,786,15994,49507,880,5110,65961,38302,104263,32396,69738,87932,55803,37899,28550,3214,57139,3141,51320,11574,2683,44149,1189,34893,48254,1422,421382,100.0,100.0
Manipur,Ukhrul,25.05900314960629,94.44129566929138,183998,70148,59681,248,160,88,173606,87970,85636,87929,46533,41396,67724,20205,96069,56815,3852,2233,25029,7553,1115,174112,108,635,70,32,373,1659,14026,276,2437,36084,5806,41890,20670,29382,38350,31734,22729,15636,405,1275,1107,13981,944,413,11239,260,7360,12142,490,183625,100.0,94.0
Meghalaya,East Garo Hills,25.82728228228228,90.64684924924916,317917,102513,89634,509,304,205,305180,153861,151319,126073,72262,53811,83936,42137,191844,77390,19246,2475,26962,17272,3359,289708,56,1004,38,5617,863,1839,24550,288,2368,62698,11518,74216,51578,70679,52762,31328,9473,2484,298,22238,1167,14539,4732,1037,13572,547,15115,15314,705,317054,100.0,97.0
Meghalaya,East Khasi Hills,25.303763888888884,91.75922519841272,825922,287270,290760,5642,2924,2718,661158,320048,341110,326786,204303,122483,289576,37210,499136,76767,40889,2966,206164,144935,14185,543394,2495,3111,303,115597,1902,41496,135941,5032,19306,106248,108843,215091,118135,163729,127722,94579,58836,61639,9397,5188,15048,46211,7975,2304,85408,9037,79933,93619,5907,824020,100.0,101.0
Meghalaya,Jaintia Hills,25.33959557069844,92.37608160136298,395124,87371,100156,1317,784,533,376099,185866,190233,154180,88839,65341,110617,43563,240944,50844,35766,2004,65566,12456,1646,271596,34,284,45,107559,1504,7150,41677,510,4333,76546,7171,83717,67749,61526,34677,26748,13544,8039,2934,1826,4790,10181,978,652,29307,888,17352,30613,654,393620,0.0,101.0
Meghalaya,South Garo Hills,25.240568578553614,90.64560349127176,142334,45003,37059,319,188,131,134237,68140,66097,53069,32826,20243,38397,14672,89265,28145,5565,1249,18110,7036,1050,132984,27,332,10,362,533,482,10940,179,1625,35930,3713,39643,25906,28921,21506,13858,3998,826,831,2581,695,7211,1700,363,5402,199,6721,6235,470,141801,100.0,95.0
Meghalaya,West Garo Hills,25.495285185185185,90.03709947089942,643291,193438,165264,8810,4535,4275,474009,236772,237237,255693,151914,103779,188371,67322,387598,120740,39725,7643,87585,122936,106788,389956,209,3392,144,16950,2916,10006,51301,1630,8872,139351,18594,157945,85733,129178,90963,70941,29404,10856,3547,32839,3589,28675,10923,2760,39386,2270,35051,45766,3620,640375,100.0,98.0
Meghalaya,West Khasi Hills,25.500889926739926,91.25364542124538,383461,117307,113371,168,93,75,375097,189134,185963,163345,89694,73651,119803,43542,220116,84956,37184,2475,38730,6498,1533,366881,58,1313,38,5878,1262,476,32873,149,2462,74832,12299,87131,80318,78208,45046,28417,12295,6450,541,3325,1683,13553,922,350,18167,210,12548,19192,675,382199,100.0,98.0
Mizoram,Aizawl,23.90781335453101,92.85359459459472,400309,169547,171048,627,388,239,373542,182517,191025,174636,104643,69993,151410,23226,225673,39266,11434,3360,120576,13249,5264,379134,105,1570,76,505,406,64710,79804,4019,21093,20570,80341,100911,29332,68214,100103,78752,37701,31310,2058,4713,9581,37753,16909,1771,63205,11817,59257,73438,8462,399903,100.0,101.0
Mizoram,Champhai,23.54166580976866,93.24221799485862,125745,51440,49362,17,16,1,123466,61954,61512,60342,34129,26213,53111,7231,65403,38336,5823,980,15203,1075,699,123446,9,151,45,194,126,9115,23948,186,2263,18395,12717,31112,14491,31359,30454,16259,4956,4087,78,911,1237,4342,3135,310,17391,911,13445,19039,1338,125619,100.0,98.0
Mizoram,Kolasib,24.2020004347826,92.73470391304348,83955,34147,31748,84,59,25,73609,36917,36692,36672,22733,13939,29697,6975,47283,17992,5921,585,12174,4000,4426,75210,16,108,2,46,147,8787,14853,367,1986,9669,12507,22176,11367,18046,20399,9849,3473,2530,62,1119,867,3227,2488,238,11315,908,8392,12841,1288,83808,100.0,96.0
Mizoram,Lawngtlai,22.36102843137253,92.66964156862753,117894,36444,26417,146,105,41,112354,57044,55310,45566,28517,17049,38082,7484,72328,29189,3153,613,12611,1668,522,63892,52,51549,122,2,87,5213,9283,162,1329,21993,5273,27266,19890,21114,16629,10538,3763,2515,125,487,631,5083,658,427,6598,392,6657,7895,870,117807,100.0,95.0
Mizoram,Lunglei,23.007717036172675,92.63512555425892,161428,64515,56607,178,125,53,153533,77180,76353,78292,46230,32062,62013,16279,83136,45439,10662,813,21378,5231,1290,127124,74,27543,93,5,68,14037,26394,482,3725,21479,17315,38794,22181,33313,34774,19918,8503,5509,116,1020,1982,12944,3706,435,19185,1814,15871,21471,1851,161360,100.0,95.0
Mizoram,Mamit,23.73852942502819,92.4330803833147,86364,32977,27214,51,42,9,82080,42075,40005,39339,24016,15323,36185,3154,47025,28669,2553,262,7855,2989,1782,69104,13,12328,25,19,104,4010,12158,90,1073,16726,4129,20855,9328,19711,19949,10756,3180,1771,22,550,565,5255,1619,120,9444,388,6263,10031,467,86260,100.0,93.0
Mizoram,Saiha,22.35744801061008,93.02827931034489,56574,21861,20372,83,52,31,54642,27226,27416,19461,12211,7250,14694,4767,37113,8908,957,313,9283,933,514,54977,11,102,4,2,31,4783,7400,168,1194,7043,5784,12827,8422,14151,12130,7269,3628,2204,69,143,507,2359,337,288,4977,322,4797,5856,591,56543,100.0,98.0
Mizoram,Serchhip,23.263864705882344,92.914158496732,64937,27598,26878,32,20,12,62889,31381,31508,32397,18261,14136,29838,2559,32540,21804,1284,926,8383,991,335,63444,6,60,9,35,57,5511,12315,131,987,7472,8018,15490,8771,14985,16237,9062,2915,2128,35,482,702,3150,1723,105,9139,492,7043,10185,941,64880,100.0,98.0
Nagaland,Dimapur,25.814176811594223,93.75074057971014,378811,150142,127895,0,0,0,223989,110892,113097,151350,99645,51705,122358,28992,227461,24517,8990,5073,112770,108900,31212,234239,566,1270,2148,157,319,42378,71413,3303,12077,49116,62853,111969,34539,61815,80076,44343,26712,27532,2939,18820,10008,15788,10821,2112,53082,6070,50453,60055,4861,378492,100.0,92.0
Nagaland,Kohima,25.60311428571428,93.78600657596373,267988,107038,90451,0,0,0,224738,110617,114121,114825,68140,46685,99408,15417,153163,44684,2198,2072,65871,25496,4384,234955,998,1519,80,335,221,20712,50724,1928,7982,31845,44255,76100,21654,46756,57726,30518,19855,23439,1770,1472,8428,20803,2011,487,36160,4116,29077,38531,1884,267767,100.0,93.0
Nagaland,Mokokchung,26.478911764705888,94.522426006192,194622,83479,76015,0,0,0,178431,90567,87864,100067,57084,42983,81046,19021,94555,48925,9166,3798,38178,9840,2057,181847,78,442,66,6,286,7236,40154,537,2728,37536,17742,55278,20259,43483,54035,27425,13077,10299,870,2132,3805,11753,5184,628,20356,1101,20192,22667,1683,194336,100.0,93.0
Nagaland,Mon,26.69207374301676,95.03072988826828,250260,67432,52194,0,0,0,238285,124343,113942,147654,79425,68229,104981,42673,102606,113473,10836,1608,21737,8102,3444,236494,84,1256,314,1,565,1080,14398,178,2844,43607,7415,51022,37431,46055,30500,7628,3565,1772,107,2148,1007,6509,1571,235,12301,233,5647,13012,476,249695,0.0,90.0
Nagaland,Phek,25.63272986577182,94.56814563758392,163418,57926,47967,0,0,0,157146,79536,77610,80277,41556,38721,63645,16632,83141,55091,3159,1275,20752,3563,950,158224,31,350,17,198,85,2073,36182,170,1558,38903,7295,46198,22494,32722,30434,12785,7268,5926,481,549,1780,9557,838,362,15543,406,9553,17005,1100,163333,100.0,95.0
Nagaland,Tuensang,26.21104453280316,94.85809880715708,196596,63653,53858,0,0,0,190916,98212,92704,98154,52931,45223,73518,24636,98442,75212,3913,1104,17925,2979,1052,191864,27,572,5,1,96,773,24998,155,2251,40690,9451,50141,29602,40900,33514,15013,6008,2760,116,355,1063,6436,738,300,13037,208,7687,13878,541,196500,100.0,93.0
Nagaland,Wokha,26.202611551155112,94.1990815181518,166343,67385,60823,0,0,0,156621,78816,77805,78412,42096,36316,63512,14900,87931,47473,6438,1965,22536,5605,2043,158236,34,318,8,20,79,3228,25268,198,1757,38499,8170,46669,15865,37024,41627,18746,10223,8030,401,2907,1592,13543,1713,400,13898,429,10923,14850,552,166264,100.0,97.0
Nagaland,Zunheboto,26.028178205128206,94.50026666666668,140757,53504,49377,0,0,0,136561,68071,68490,79466,41178,38288,49382,30084,61291,44723,11955,2025,20763,2580,772,136995,39,286,6,2,77,1433,28846,261,2008,31267,6044,37311,16523,30889,35113,17282,8821,5560,1107,713,2258,7899,1033,357,14194,424,9954,15491,940,140680,100.0,98.0
Orissa,Baleshwar,21.48570932311624,87.08085828011933,2320529,902359,718873,478586,243597,234989,275678,137748,137930,932707,684020,248687,618064,314643,1387822,288818,358214,28736,256939,2197709,94254,6434,237,111,201,18345,3238,36478,296834,7370,28289,601154,82440,683594,342192,470502,416510,267354,112392,105962,27493,365510,8591,41966,75401,15504,227957,7571,161266,256167,12706,2317291,100.0,96.0
Orissa,Bhadrak,20.95262735257214,86.81496204516931,1506337,596269,497871,334896,168687,166209,30428,15361,15067,468599,409559,59040,328097,140502,1037738,155956,151377,14451,146815,1398543,104202,745,169,81,111,61,2425,15864,164636,2637,15609,373862,54244,428106,210736,391081,297270,177013,71815,67536,17449,184434,3670,51374,34791,6947,152222,3134,86821,165031,5862,1503912,100.0,98.0
Orissa,Cuttack,20.407640646029623,85.7776810228802,2624470,1103033,908436,498633,254456,244177,93745,47437,46308,936365,761876,174489,696274,240091,1688105,138698,248298,51809,497560,2457729,141263,11985,1026,6276,1180,168,4843,103177,349587,15046,40589,579529,210768,790297,289414,545514,513039,328319,159456,181601,45279,391982,15494,101749,132934,15390,258129,23064,236867,298570,25051,2619627,100.0,94.0
Orissa,Dhenkanal,20.79887159353349,85.53226836027711,1192811,464093,365817,234079,118755,115324,162056,80878,81178,435533,340552,94981,277338,158195,757278,71230,163636,17312,183355,1185542,4805,727,124,366,39,139,1069,19846,117172,1810,10600,315390,36979,352369,188872,238599,193395,132002,53162,43064,10903,159449,3533,23281,36224,3472,88778,3383,66148,98136,5886,1191742,100.0,95.0
Orissa,Gajapati,19.121080882352945,84.14015091911759,577817,153663,108874,39175,19037,20138,313714,151902,161812,293933,155907,138026,170371,123562,283884,65062,153199,5370,70302,353160,1556,219482,53,2180,66,4,1316,12035,63112,635,5523,152095,23050,175145,68405,76419,54787,36977,17084,12556,1882,28704,656,5245,8521,1791,31087,871,23672,34820,1942,576501,0.0,104.0
