State,District,Latitude,Longitude,Population,Male Literate,Female Literate,Scheduled Castes,Male Scheduled Castes,Female Scheduled Castes,Scheduled Tribes,Male Scheduled Tribes,Female Scheduled Tribes ,Workers,Male Workers,Female Workers,Main Workers,Marginal Workers,Non Workers,Cultivator Workers,Agricultural Workers,Household Workers,Other_Workers,Total Hindus,Total Muslims,Total Christians,Total Sikhs ,Total Buddhists,Total Jains,Others Religions,Religion Not Stated,LPG Households,Housholds with Electric Lighting,Households with Internet,Households with Computer,Rural Households,Urban Households,Households,Below Primary Education,Primary Education,Middle Education,Secondary Education,Higher Education,Graduation,Other Education,Households with Bicycle,Households with Car Jeep Van,Households with Radio Transistor,"Households with Scooter,Motorcycle,Moped","Households with Telephone,Mobile,Phone and Landline only","Households with Telephone,MobilePhone and Mobile only","Households with TV,Computer,Laptop,Telephone,mobile,phone and ScooterCar",Households with Television,"Households with Telephone,Mobile and Phone","Households with Telephone,Mobile and Phone",Total Religion,Literacy Rate,Sex Ratio
Arunachal Pradesh,Lohit,27.946785273972623,96.59670770547945,145726,48380,34682,0,0,0,47410,23457,23953,60945,38910,22035,50754,10191,84781,29909,7789,786,22461,99020,3846,10684,210,24452,104,7277,133,6549,17157,312,1471,33599,11372,44971,19306,25179,20643,13070,7612,5180,584,16426,1203,6169,3884,752,11499,631,12215,13372,1121,145593,100.0,91.0
Arunachal Pradesh,Lower Dibang Valley,28.32651730103806,95.76567335640142,54080,18087,13762,0,0,0,25974,12649,13325,22326,14102,8224,19829,2497,31754,9687,3354,233,9052,28915,2247,9213,33,2932,19,10393,328,3068,5932,207,742,12000,3950,15950,5875,7957,7351,5508,3570,2795,85,4410,703,2736,2128,217,5804,346,4345,6616,595,53752,100.0,93.0
Arunachal Pradesh,Lower Subansiri,27.70849297297297,93.96226108108112,83030,29470,24587,0,0,0,72911,35803,37108,30202,17339,12863,22669,7533,52828,13656,1968,435,14143,9551,1482,34402,27,193,13,37085,277,4211,12493,381,1598,18112,5365,23477,8492,10821,11661,9861,7674,5230,295,1063,2002,3921,2973,505,7429,655,7285,9532,1598,82753,100.0,98.0
Arunachal Pradesh,Papum Pare,27.273529716981127,93.54468183962264,176573,65794,55254,0,0,0,117216,56469,60747,65772,41263,24509,51157,14615,110801,14104,1859,1543,48266,57027,6148,84397,310,4768,139,22586,1198,22966,30539,2477,7418,20308,30180,50488,15368,21956,21376,20007,17342,13840,926,3898,6454,5958,8668,1397,22828,4243,23203,27411,3186,175375,100.0,98.0
Arunachal Pradesh,Tawang,27.680683962264148,91.82504245283016,49977,17720,8353,0,0,0,34811,16770,18041,28561,19554,9007,24430,4131,21416,7631,1581,114,19235,11842,787,776,1164,34920,72,349,67,3794,8635,96,494,10730,2452,13182,4904,4730,4029,2140,1989,1379,667,105,895,2356,205,771,2310,247,4824,4036,955,49910,100.0,71.0
Arunachal Pradesh,Tirap,26.94406229508198,95.41470327868862,111975,29313,18661,0,0,0,98372,49365,49007,50169,27545,22624,44262,5907,61806,35967,1811,836,11555,20682,1103,83361,61,778,43,5325,622,3104,16026,98,888,18420,6500,24920,13585,16989,12077,7834,4305,2134,182,963,679,2281,1369,163,6563,216,6118,7182,456,111353,0.0,94.0
Arunachal Pradesh,Upper Siang,28.8309244897959,95.00155765306124,35320,10723,7472,0,0,0,28468,14413,14055,17644,9968,7676,14524,3120,17676,9976,804,591,6273,5261,411,5643,27,2577,7,20967,427,1504,6198,97,392,8569,2182,10751,3952,5584,4915,2935,2211,1349,46,136,430,1415,1031,99,2890,165,2823,3491,502,34893,100.0,89.0
Arunachal Pradesh,Upper Subansiri,28.277196566523585,93.8991435622318,83448,24807,20471,0,0,0,78323,38570,39753,33370,17898,15472,25717,7653,50078,21690,1846,481,9353,13474,521,8779,28,297,11,59449,889,3123,5373,139,750,14542,4672,19214,10219,16118,15339,10348,8017,4276,473,782,569,4629,1435,475,2569,189,3580,3653,609,82559,100.0,100.0
Arunachal Pradesh,West Kameng,27.46486582278483,92.65015750452083,83947,29566,18926,0,0,0,46380,22771,23609,42493,28313,14180,34752,7741,41454,14476,1705,801,25511,31265,1970,8466,328,36087,71,5556,204,7133,14188,202,887,17889,6306,24195,8836,10317,8428,5633,3987,2693,299,348,1299,3081,1045,434,6641,371,8634,7942,867,83743,100.0,82.0
Arunachal Pradesh,West Siang,28.106296920289843,94.53510344202908,112274,36777,27969,0,0,0,92783,45746,47037,49177,29156,20021,43000,6177,63097,28852,1384,298,18643,15881,2218,29969,577,3311,49,60005,264,6115,14204,303,1300,22272,8503,30775,14227,17675,15908,11441,8418,6030,521,2129,1964,4771,4023,869,7725,621,9593,10217,1623,112010,100.0,93.0
